Location,Zone,Crime_Level,Total_Crimes,Safety_Rating_out_of_10,Crime_Rating_out_of_10,Water_Clogging_Issues,Electricity_Issues,Detailed_Pros,Detailed_Cons
ANAND PARBAT,Central Delhi,Medium,521,6.4,3.6,Occasional,Occasional,Historical significance; Government offices nearby; Business district; Central location; Moderately safe area; Better civic amenities,High traffic density; Limited residential space; Commercial area noise; Occasional safety concerns
BARAKHAMBA ROAD,Central Delhi,High,1011,2.9,7.1,Occasional,Frequent,Historical significance; Government offices nearby; Business district; Central location; Better civic amenities,High traffic density; Limited residential space; Commercial area noise; Safety concerns especially at night; Higher crime incidents reported
CHANAKYAPURI,Central Delhi,High,723,5.0,5.0,Occasional,Frequent,Historical significance; Government offices nearby; Business district; Central location; Better civic amenities,High traffic density; Limited residential space; Commercial area noise; Safety concerns especially at night; Higher crime incidents reported
CHANDNI MAHAL,Central Delhi,Medium,588,5.9,4.1,Occasional,Occasional,Historical significance; Government offices nearby; Business district; Central location; Better civic amenities,High traffic density; Limited residential space; Commercial area noise; Safety concerns especially at night; Higher crime incidents reported
CONNAUGHT PLACE,Central Delhi,High,909,3.7,6.3,Occasional,Frequent,Premier business hub; Historical landmark; Shopping destination; Metro interchange,Heavy foot traffic; Parking scarcity; High commercial rents; Tourist crowds
D.B.G ROAD,Central Delhi,Medium,500,6.5,3.5,Occasional,Occasional,Historical significance; Government offices nearby; Business district; Central location; Moderately safe area; Better civic amenities,High traffic density; Limited residential space; Commercial area noise; Occasional safety concerns
DARYA GANJ,Central Delhi,Low,222,8.5,1.5,Occasional,No,Historical significance; Government offices nearby; Business district; Central location; Safe neighborhood; Low crime incidents,High traffic density; Limited residential space; Commercial area noise
DELHI CANTT,Central Delhi,Low,293,8.0,2.0,Occasional,No,Historical significance; Government offices nearby; Business district; Central location; Safe neighborhood; Low crime incidents,High traffic density; Limited residential space; Commercial area noise
FARASH BAZAR,Central Delhi,Medium,427,7.0,3.0,Occasional,Occasional,Historical significance; Government offices nearby; Business district; Central location; Moderately safe area; Better civic amenities,High traffic density; Limited residential space; Commercial area noise; Occasional safety concerns; Market area congestion
H. N. DIN,Central Delhi,Low,257,8.2,1.8,Occasional,No,Historical significance; Government offices nearby; Business district; Central location; Safe neighborhood; Low crime incidents,High traffic density; Limited residential space; Commercial area noise
HAUZQAZI,Central Delhi,Medium,491,6.6,3.4,Occasional,Occasional,Historical significance; Government offices nearby; Business district; Central location; Moderately safe area; Better civic amenities,High traffic density; Limited residential space; Commercial area noise; Occasional safety concerns
